Left	LeftCor	Left-Center	Left-CenterCor	Least	LeastCor	Right-Center	Right-CenterCor	Right	RightCor
war	0.05417217	reading	0.07872776	albuquerque	0.19188157	reading	0.03832989	reading	0.51832052
reading	0.04914027	below	0.07166641	mexico	0.09718155	below	0.03827873	below	0.47776485
political	0.04900202	continue	0.06415360	reading	0.05273877	continue	0.03148502	continue	0.36116986
below	0.04507007	gt	0.02969939	below	0.04684062	loss	0.02962903	opens	0.16654293
movement	0.04038533	lt	0.02684010	continue	0.03056357	sell	0.02297183	window	0.15083176
american	0.03537631	shares	0.02632056	file	0.02936857	website	0.02243800	motley	0.12838268
nothing	0.03488187	opens	0.02530715	journal	0.02897515	involved	0.02153302	fool	0.12086695
power	0.03385914	investors	0.02409635	“we	0.02874599	trading	0.02109098	shares	0.11594101
society	0.03222764	window	0.02280681	district	0.02275619	even	0.01996594	investors	0.10753596
world	0.03197050	stocks	0.02115482	“i	0.02243766	associated	0.01930966	disclosure	0.10625128
politics	0.03183487	stock	0.02060715	“it’s	0.02241831	what	0.01836485	stocks	0.09533180
fact	0.03105290	company	0.01871990	county	0.02199896	investment	0.01760570	stock	0.08333119
words	0.03092873	motley	0.01847459	spokesman	0.02184599	if	0.01709152	company's	0.08325903
military	0.03080517	fool	0.01825712	it's	0.02009219	but	0.01707329	nyse	0.08175690
obama	0.03015924	market	0.01769653	editing	0.01803045	anyone	0.01706382	that's	0.07675352
human	0.02975578	quarter	0.01643163	that's	0.01659814	markets	0.01598479	company	0.07625823
these	0.02921827	mother	0.01613877	state	0.01650737	like	0.01590647	earnings	0.07129092
history	0.02902341	earnings	0.01566820	“it	0.01605595	these	0.01562816	market	0.06706195
continue	0.02871494	nyse	0.01550484	opens	0.01543211	than	0.01538366	it's	0.06434717
his	0.02866413	nasdaq	0.01524892	saturday	0.01474559	so	0.01519478	quarter	0.06158528
iraq	0.02708581	disclosure	0.01522466	comment	0.01474525	about	0.01518100	nasdaq	0.05918419
people	0.02698990	inc	0.01428385	“the	0.01453803	it's	0.01486680	“the	0.05542557
country	0.02587195	trading	0.01381481	officials	0.01423085	can	0.01439347	owns	0.05166280
never	0.02584850	trump	0.01319572	office	0.01404397	just	0.01429141	revenue	0.05163308
read	0.02576190	markets	0.01269689	additional	0.01370719	now	0.01422962	sales	0.04925623
themselves	0.02559176	sales	0.01254142	department	0.01366015	all	0.01419934	his	0.04769728
against	0.02515961	growth	0.01201090	said	0.01350692	they	0.01330633	mentioned	0.04474263
only	0.02496383	revenue	0.01153515	window	0.01322585	how	0.01328836	growth	0.04217820
bush	0.02491637	company's	0.01142363	city	0.01306405	them	0.01314638	he	0.03848257
even	0.02470745	says	0.01139478	fool	0.01285221	much	0.01260558	state	0.03845515
lives	0.02466876	buy	0.01094107	coverage	0.01281013	you	0.01234611	who	0.03797056
americans	0.02446723	analysts	0.01007460	motley	0.01278875	more	0.01204028	it’s	0.03758263
book	0.02395023	price	0.00994825	photo	0.01223858	new	0.01191898	analysts	0.03652828
anti	0.02368485	rose	0.00953897	attorney	0.01191524	no	0.01190316	inc	0.03566659
who	0.02349900	investment	0.00951636	area	0.01165134	are	0.01180201	image	0.03551805
own	0.02348211	albuquerque	0.00939525	don't	0.01140071	that's	0.01165133	there's	0.03548824
what	0.02341834	owns	0.00913528	march	0.01133430	window	0.01142458	source	0.03405805
many	0.02308310	share	0.00877044	near	0.01124687	possible	0.01141824	billion	0.03361365
civil	0.02302490	amp	0.00821030	friday	0.01116198	costs	0.01122199	“we	0.03320096
perhaps	0.02302098	prices	0.00820578	court	0.01082231	result	0.01099698	“i	0.03281972
america	0.02280741	editing	0.00810535	she	0.01041534	opens	0.01087981	considering	0.03278657
course	0.02261740	donald	0.00796111	center	0.01019251	many	0.01078828	range	0.03142220
must	0.02248224	source	0.00794029	san	0.01003907	there	0.01063870	price	0.03127306
self	0.02212199	financial	0.00789311	officer	0.00982313	because	0.01057760	war	0.03051870
us	0.02201351	range	0.00776172	police	0.00965828	within	0.01047440	share	0.03010914
do	0.02195311	fell	0.00733910	there's	0.00927738	only	0.01046598	military	0.02496869
so	0.02134371	billion	0.00726614	two	0.00898187	those	0.01044102	ceo	0.02474783
afghanistan	0.02119287	com	0.00716246	disclosure	0.00898149	other	0.01043348	political	0.02432680
nation	0.02105641	data	0.00670285	percent	0.00895163	we	0.01041246	don’t	0.02428501
class	0.02079809	mentioned	0.00667936	investigation	0.00861408	most	0.01037854	don't	0.02366962
