ID,Predicted Value,Actual Value
8,1,3
81,0,4
119,1,1
128,4,3
180,4,4
205,3,3
231,4,4
298,2,2
318,4,4
319,1,1
320,2,1
360,1,2
369,0,0
453,4,4
458,1,1
673,4,4
675,2,0
690,1,4
701,4,1
766,4,4
801,1,4
843,3,3
916,0,1
923,1,1
963,2,4
1055,4,2
1138,1,1
1155,4,4
1176,4,4
1177,1,1
1178,0,1
1206,0,0
1297,0,0
1309,4,3
1389,4,4
1436,2,2
1446,1,1
1479,2,2
1487,1,1
1498,1,3
1545,4,4
1548,4,4
1571,1,1
1583,2,3
1616,2,2
1642,1,1
1649,2,2
1653,4,4
1688,1,4
1714,1,1
1774,0,0
1814,4,4
1875,1,1
1878,4,4
1889,4,4
1891,4,4
1903,0,0
1912,0,1
1916,1,1
1926,1,0
1989,4,4
2086,0,0
2116,4,4
2237,0,1
2247,4,4
2278,3,3
2360,4,4
2392,4,4
2393,4,4
2414,2,2
2447,4,0
2452,4,4
2465,4,4
2475,2,2
2513,0,0
2547,2,1
2552,0,0
2553,4,4
2672,1,1
2689,4,4
2835,1,1
2850,1,1
2926,4,4
2936,1,1
3135,4,4
3190,4,4
3217,3,2
3314,4,4
3326,4,4
3353,1,2
3355,4,1
3378,4,4
3408,4,4
3426,4,4
3464,0,0
3499,1,1
3551,4,1
3600,4,3
3606,4,4
3622,0,0
3634,1,1
3664,0,0
3673,2,2
3811,4,4
3841,1,1
3885,1,1
4077,4,2
4097,0,2
4145,3,3
4164,2,2
4251,0,0
4345,1,1
4365,0,0
4375,0,0
4411,1,1
4437,0,0
4448,4,4
4459,4,4
4494,4,4
4565,4,4
4591,1,1
4597,3,3
4620,2,1
4699,4,0
4743,1,1
4811,4,3
4821,2,2
4839,4,4
4904,0,1
4919,1,4
4952,4,4
5043,1,1
5065,1,1
5096,4,4
5103,1,1
5116,0,0
5123,4,4
5131,3,3
5178,3,3
5205,1,1
5249,1,1
5291,1,1
5310,4,4
5311,4,4
5333,4,3
5356,4,4
5398,0,3
5425,0,0
5429,1,1
5483,1,2
5529,4,4
5553,2,1
5555,4,4
5676,0,0
5683,0,4
5700,1,1
5702,0,0
5715,1,1
5827,1,1
5884,4,4
5892,4,4
5903,0,1
5914,4,4
5944,0,0
5966,1,1
5968,0,0
5982,1,1
6012,0,1
6013,1,2
6183,4,4
6188,0,0
6285,1,1
6330,0,0
6344,2,2
6354,0,0
6381,4,4
6433,0,0
6473,2,2
6487,4,4
6494,0,0
6554,2,2
6572,4,4
6634,4,1
6651,1,1
6657,4,4
6690,3,3
6775,0,0
6776,4,4
6821,3,3
6922,2,2
7031,4,4
7054,0,0
7091,4,0
7101,4,4
7145,1,1
7148,4,1
7215,2,2
7218,1,4
7220,1,1
7231,4,4
7259,2,0
7261,4,0
7451,2,2
7582,2,1
7631,4,1
7662,4,4
7665,3,3
7766,4,4
7803,0,0
7806,0,0
7817,0,0
7821,4,4
7949,4,4
7989,4,4
8011,0,0
8019,4,4
8092,0,1
8137,0,0
8148,4,4
8214,3,3
8252,0,0
8423,4,4
8442,4,1
8480,4,4
8525,0,0
8550,0,1
8613,1,1
8673,4,4
8675,4,4
8680,2,2
8700,0,0
8804,4,4
8827,1,2
8849,4,4
8855,4,4
8909,0,0
8972,4,4
8986,2,2
9056,2,2
9089,4,2
9115,2,2
9200,4,1
9203,1,1
9332,0,0
9381,1,1
9395,4,4
9405,1,1
9505,4,4
9508,4,4
9528,4,4
9548,1,1
9588,0,0
9638,1,2
9644,4,4
9657,4,4
9680,2,2
9742,4,4
9807,0,0
9890,1,1
9898,2,2
9904,0,4
9930,1,1
10080,1,1
10083,4,4
10092,0,2
10096,3,3
