ID	Predicted Value	Actual Value
23	1	4
29	0	0
32	4	4
37	0	3
70	1	0
77	1	1
79	2	2
144	0	1
202	0	0
217	0	1
232	2	1
233	2	4
254	1	2
255	1	0
282	1	4
283	0	2
292	4	4
301	0	0
307	1	4
351	2	2
394	0	3
408	0	0
425	0	3
439	2	4
441	1	2
471	2	0
490	0	3
495	2	4
510	1	0
522	2	2
546	1	2
548	2	3
552	0	3
555	1	4
561	1	4
584	2	4
599	1	4
611	0	3
659	1	4
663	0	0
667	0	0
683	0	0
703	2	1
706	0	0
733	0	3
754	2	0
792	1	4
798	1	4
805	0	4
827	0	0
830	0	0
848	0	4
861	1	0
880	2	2
888	0	0
891	2	2
897	1	1
901	2	4
905	2	2
955	0	3
962	0	0
966	0	3
980	1	0
993	2	2
1009	2	4
1059	0	3
1071	1	0
1082	1	1
1093	0	0
1111	1	0
1154	1	2
1202	1	4
1213	4	0
1224	0	4
1233	2	4
1237	2	1
1260	1	0
1307	1	0
1360	0	4
1373	1	2
1387	1	0
1405	1	4
1423	0	0
1459	1	4
1557	0	0
1582	2	1
1601	1	4
1603	1	1
1646	0	1
1660	0	1
1661	1	0
1670	4	0
1702	1	0
1732	0	0
1735	1	4
1749	2	2
1758	2	2
1760	1	2
1781	1	2
1788	1	4
1812	1	3
1830	0	3
1833	0	4
1861	2	2
1881	1	4
1904	0	3
1922	1	0
1927	2	2
1953	3	0
1955	0	3
1960	1	4
1972	0	3
1990	0	3
2000	1	4
2028	2	4
2056	1	0
2066	0	3
2077	1	1
2160	2	2
2172	0	4
2215	0	0
2221	0	4
2245	0	4
2250	0	4
2272	1	2
2275	0	0
2280	2	1
2356	1	0
2369	0	3
2382	2	2
2432	1	0
2453	0	3
2491	1	0
2582	1	0
2591	1	0
2596	0	0
2598	0	3
2612	1	4
2648	1	0
2665	4	0
2669	0	0
2687	0	3
2701	2	2
2779	2	4
2822	1	0
2839	2	2
2882	0	4
2888	0	2
2925	2	1
2958	0	4
2964	1	4
3010	1	4
3012	0	0
3017	1	4
3018	4	0
3041	0	0
3068	0	3
3136	0	3
3149	1	0
3166	0	4
3183	0	4
3192	4	0
3207	1	0
3226	0	0
3232	1	4
3265	1	4
3276	2	0
3381	1	0
3399	1	2
3420	2	4
3422	1	0
3431	0	1
3440	0	0
3448	2	2
3465	2	2
3490	1	1
3491	0	3
3494	0	0
3510	1	1
3568	1	0
3590	1	0
3620	1	4
3632	1	4
3633	0	3
3706	1	4
3732	1	0
3738	2	0
3820	1	1
3825	4	0
3838	1	0
3842	2	2
3844	0	3
3871	0	1
3878	2	2
3879	0	4
3935	1	2
3944	2	4
3966	1	0
3975	1	3
3989	0	3
4009	0	0
4033	2	1
4044	2	4
4045	1	0
4051	1	0
4056	0	0
4065	0	4
4210	1	0
4263	0	4
4274	2	0
4295	0	0
4303	2	2
4340	0	0
4377	0	3
4380	2	4
4406	0	0
4435	0	0
4514	0	1
4551	1	4
4564	0	0
4569	0	0
4576	1	0
4580	0	0
4584	0	3
4599	0	2
4613	0	4
4624	1	4
4642	0	0
4745	0	3
4785	0	3
4800	0	3
4841	1	1
4843	0	0
4909	1	4
4911	1	2
4936	1	0
4940	1	0
4975	1	4
5019	1	2
5029	1	0
5067	1	4
5072	0	1
5187	1	3
5203	2	2
5211	2	2
5215	2	2
5322	4	4
5329	0	3
5391	0	3
5445	1	0
5448	1	2
5477	4	1
5481	1	4
5526	4	4
5571	2	0
5586	1	2
5587	2	2
5592	0	3
5609	0	3
5617	1	4
5672	0	0
5721	1	4
5726	0	4
5773	2	4
5791	1	0
5799	1	4
5805	1	4
5835	1	0
5848	0	3
5856	0	0
5858	0	1
5883	1	0
5910	0	3
5917	0	0
5924	1	0
6050	0	0
6052	1	4
6055	1	4
6090	0	2
6119	0	3
6125	1	0
6131	1	1
6151	1	0
6168	1	4
6177	2	2
6181	1	4
6223	2	4
6232	1	0
6286	1	2
6287	2	2
6308	1	0
6315	0	0
6317	1	1
6333	0	0
6340	0	3
6357	0	3
6412	1	0
6415	1	1
6426	1	0
6449	1	4
6475	2	2
6481	0	4
6495	0	3
6499	2	2
6536	1	0
6552	1	1
6559	1	0
6613	1	2
6629	1	3
6642	0	0
6663	1	0
6723	4	4
6742	0	3
6767	0	3
6778	1	4
6787	1	4
6814	1	2
6826	1	0
6831	2	2
6852	2	2
6856	1	0
6877	2	2
6911	1	4
6976	0	4
7013	1	0
7022	2	2
7033	1	0
7043	2	2
7053	0	0
7079	1	2
7083	1	0
7102	0	4
7107	2	2
7120	4	4
7138	0	0
7142	2	4
7151	0	3
7160	1	0
7165	0	0
7216	1	2
7226	1	2
7235	2	2
7243	1	0
7262	0	4
7263	0	3
7264	2	4
7274	0	3
7277	2	2
7296	1	0
7305	2	0
7320	0	3
7329	0	3
7335	1	0
7371	0	1
7402	0	0
7418	1	4
7481	1	4
7532	2	2
7545	2	2
7555	1	4
7585	2	4
7612	0	3
7613	2	1
7634	1	4
7657	0	0
7666	1	0
7669	1	4
7732	1	0
7752	0	4
7760	1	4
7765	1	0
7843	0	4
7877	1	2
7905	1	0
7924	2	0
7936	1	0
7941	1	1
7946	0	0
7978	2	2
7987	2	4
7990	1	0
8008	0	0
8058	0	0
8069	1	4
8103	2	2
8134	0	3
8184	0	0
8222	1	1
8239	0	0
8261	0	3
8275	0	0
8296	2	4
8325	2	2
8328	0	3
8329	0	3
8351	0	3
8353	1	0
8354	0	1
8369	2	4
8377	0	3
8386	0	0
8445	2	4
8479	0	4
8490	1	4
8491	3	0
8529	0	0
8562	0	3
8568	1	0
8620	1	0
8625	0	3
8650	1	0
8653	1	0
8668	2	3
8716	0	3
8737	0	0
8770	4	0
8786	0	3
8840	1	0
8893	1	0
8901	1	4
8906	2	4
8908	2	0
8933	2	2
8941	2	4
8964	0	3
8968	4	0
8987	1	1
9017	0	2
9049	0	3
9053	1	0
9059	1	0
9071	0	0
9171	0	4
9181	2	2
9187	1	0
9198	1	0
9246	0	3
9248	0	3
9249	0	3
9272	0	0
9281	2	2
9288	0	0
9342	0	4
9353	1	2
9357	0	3
9400	1	4
9429	2	4
9436	1	0
9474	0	4
9486	0	3
9488	2	4
9513	0	3
9560	1	1
9566	1	0
9601	2	4
9603	2	1
9625	4	0
9651	2	2
9652	0	3
9687	1	2
9721	2	1
9731	0	1
9755	1	0
9782	0	4
9821	1	2
9822	1	2
9869	1	0
9881	0	3
9908	0	3
9947	0	0
9951	0	3
9953	0	0
9960	1	2
9966	1	1
9969	2	2
10003	0	3
10039	1	4
10050	0	4
10081	1	0
10100	1	1
10103	1	1
10138	2	4
10152	0	4
10155	1	0
10184	1	0
10201	0	3
10216	0	3
10234	0	3
10255	1	0
10263	1	0
10282	2	2
10329	0	3
10347	1	0
10356	1	4
10358	1	0
10363	1	0
10393	0	1
10398	0	3
10415	1	0
10431	0	3
10433	2	4
10436	1	2
10458	1	0
10500	1	0
10513	2	2
10524	2	1
10619	4	2
10628	2	1
10669	1	0
10681	0	2
10719	2	2
10721	0	3
10732	2	2
10735	2	1
10761	1	0
10770	1	0
10776	0	3
10781	1	2
10782	1	4
10809	1	0
10818	1	0
10854	2	4
10864	1	3
10918	0	0
10926	1	0
11040	1	4
11072	0	0
11073	1	4
11075	2	2
11076	1	1
11077	1	4
11084	2	4
11097	1	1
11173	2	1
11174	1	0
11181	0	4
11248	1	0
11268	2	1
11336	1	3
11364	1	1
11377	4	0
11494	1	0
11520	0	3
11553	2	2
11566	2	4
11620	0	3
11661	1	4
11717	0	4
11738	1	0
11742	0	0
11750	0	0
11754	1	4
11773	2	2
11812	0	1
11813	0	4
11837	2	1
11877	0	0
11929	0	4
11934	0	3
11947	1	4
11971	0	3
12000	3	0
12020	1	0
12081	2	4
12094	1	0
12114	0	3
12122	1	3
12127	0	0
12166	1	0
12173	1	0
12174	0	4
12201	2	2
12215	1	4
12233	0	0
12246	1	2
12251	2	0
12274	1	0
12293	1	3
12331	0	0
12334	1	0
12336	0	4
12365	2	4
12370	4	0
12392	0	0
12400	0	3
12432	2	2
12454	0	0
12558	1	2
12567	1	0
12601	1	3
12605	2	1
12646	4	0
12654	2	2
12678	1	0
12716	1	4
12746	1	4
12760	1	0
12775	2	2
12816	2	1
12838	1	1
12850	1	0
12857	0	0
12864	1	2
12923	1	2
12924	0	3
12925	0	0
12930	0	3
12949	4	0
12976	1	0
12983	0	3
13004	2	2
13007	0	0
13014	1	0
13060	0	3
13074	1	1
13124	0	4
13159	1	1
13198	2	2
13222	0	0
13242	1	0
13252	0	4
13257	0	1
13259	2	4
13267	0	4
13277	1	4
13293	1	1
13322	1	0
13323	0	0
13345	2	0
13356	1	0
13374	1	0
13380	0	0
13429	0	0
13442	2	4
13531	1	4
13540	1	4
13577	0	3
13583	1	4
13594	1	0
13595	1	0
13623	0	4
13625	0	4
13636	2	2
13651	0	3
13658	1	2
13713	1	0
13716	1	4
13729	0	2
13733	0	3
13764	1	4
13819	1	1
13831	1	4
13878	1	0
13892	2	0
13899	4	4
13916	1	0
13996	1	0
14006	0	3
14018	1	1
14033	2	2
14054	1	1
14066	1	3
14092	1	1
14103	1	2
14122	0	3
14131	1	0
14148	0	4
14184	0	0
14201	1	0
14235	4	0
14258	1	0
14259	4	0
14280	1	0
14301	2	2
14319	2	4
14349	0	3
14400	1	0
14418	1	4
14422	0	0
14443	1	0
14445	1	0
14449	2	2
14455	1	0
14460	1	0
14468	0	3
14490	1	2
14517	0	0
14518	1	4
14567	2	0
14585	0	3
14607	1	0
14608	0	3
14610	0	3
