ID	Predicted Value	Actual Value
41	2	1
102	1	2
272	1	1
313	2	2
316	0	2
318	1	1
341	1	1
468	1	3
536	1	4
566	1	4
613	2	2
630	1	0
701	1	1
718	1	1
766	4	4
783	1	3
820	1	4
860	1	0
927	2	3
933	0	0
939	3	4
1017	1	1
1062	2	4
1096	1	1
1102	2	1
1153	1	4
1215	1	3
1225	1	1
1271	1	1
1285	3	3
1310	0	1
1331	2	2
1434	0	4
1441	1	4
1445	2	2
1455	1	1
1513	2	1
1529	2	2
1533	1	4
1537	3	3
1538	0	0
1571	0	4
1583	1	3
1610	1	0
1653	1	0
1656	1	1
1688	1	1
1722	1	3
1789	0	4
1903	1	1
1929	4	4
1989	0	0
2074	1	2
2184	1	1
2271	0	4
2333	1	1
2355	0	3
2487	1	3
2505	0	0
2509	1	3
2616	2	1
2670	0	1
2711	1	1
2785	0	0
2814	0	0
2926	0	3
2939	1	0
2978	1	2
3045	1	2
3193	1	2
3201	1	4
3311	1	3
3325	2	1
3355	2	2
3375	2	2
3446	0	0
3492	2	3
3500	1	2
3562	4	0
3583	1	2
3606	1	0
3724	1	2
3729	1	3
3761	2	2
3791	1	4
3837	1	0
3917	2	1
4121	2	1
4190	2	2
4259	0	0
4323	3	3
4365	3	2
4421	2	0
4457	0	0
4485	0	1
4492	0	1
4495	0	0
4516	1	1
4520	1	3
4578	1	1
4634	1	3
4676	1	1
4741	1	0
4849	1	4
4933	1	1
5091	2	2
5115	0	0
5116	1	2
5150	1	1
5291	3	3
5323	1	3
5331	2	1
5350	1	4
5360	1	1
5377	3	2
5409	1	0
5473	0	0
5492	1	1
5569	1	1
5690	2	2
5770	1	2
5788	1	3
5829	1	0
5849	1	4
5855	2	2
5861	2	2
5865	1	0
5881	2	2
5905	1	1
5912	0	0
5955	1	2
6012	2	2
6018	3	3
6196	4	4
6235	3	3
6316	1	1
6322	2	2
6339	2	3
6392	2	1
6784	1	3
6816	0	1
6825	0	0
6829	1	1
6830	1	2
6834	1	1
6893	1	4
6932	1	0
6939	2	2
6956	1	3
7051	1	1
7193	1	4
7227	0	0
7231	0	0
7386	3	4
7401	0	0
7488	2	2
7559	2	1
7650	2	2
7693	2	2
7726	1	0
7753	1	3
7763	1	0
7803	1	1
7855	3	1
7921	1	2
8043	2	2
8113	0	0
8191	2	3
8206	1	4
8216	2	2
8317	1	0
8361	0	0
8504	2	1
8584	1	1
8675	1	0
8690	0	2
8759	1	3
8793	2	1
8937	2	2
9001	1	0
9200	1	4
9206	0	0
9242	1	1
9254	0	0
9265	2	0
9372	0	1
9463	0	4
9531	0	0
9536	2	2
9556	0	0
9559	1	0
9676	2	2
9763	0	1
9825	1	4
9890	2	2
9944	1	1
9963	1	3
10024	1	0
10105	1	2
10175	1	3
10176	0	1
10178	2	2
10310	1	4
10360	1	3
10378	1	3
10406	1	4
10490	0	0
10498	0	0
10547	0	0
10572	2	2
10584	1	3
10598	0	1
10685	0	0
10713	3	2
10742	1	4
10745	1	0
10853	2	3
10935	2	1
10978	1	4
11023	1	1
11094	0	0
11122	1	2
11142	1	1
11162	2	1
11187	0	4
11234	1	1
11302	1	0
11444	1	3
11523	0	1
11860	1	4
12061	1	0
12091	1	4
12231	1	2
12309	2	2
12356	1	4
12384	3	2
12565	1	0
12595	1	1
12664	1	4
12700	2	3
12703	1	0
12719	3	0
12722	1	0
12744	0	0
12748	4	4
12762	0	4
12786	1	1
12820	2	3
13019	1	1
13098	2	2
13140	1	1
13148	1	2
13213	1	0
13402	1	3
13424	1	4
13431	1	4
