ID	Predicted Value	Actual Value
23	4	4
29	4	0
32	4	4
37	1	3
70	2	0
77	1	1
79	1	2
144	1	1
202	1	0
217	0	1
232	1	1
233	4	4
254	3	2
255	4	0
282	4	4
283	0	2
292	0	4
301	0	0
307	1	4
351	1	2
394	0	3
408	0	0
425	0	3
439	1	4
441	1	2
471	2	0
490	1	3
495	1	4
510	1	0
522	2	2
546	4	2
548	0	3
552	0	3
555	1	4
561	0	4
584	1	4
599	0	4
611	1	3
659	4	4
663	1	0
667	0	0
683	0	0
703	1	1
706	1	0
733	0	3
754	1	0
792	4	4
798	4	4
805	0	4
827	1	0
830	0	0
848	0	4
861	2	0
880	1	2
888	4	0
891	3	2
897	1	1
901	4	4
905	1	2
955	0	3
962	0	0
966	0	3
980	0	0
993	3	2
1009	0	4
1059	0	3
1071	1	0
1082	1	1
1093	1	0
1111	4	0
1154	1	2
1202	0	4
1213	4	0
1224	4	4
1233	4	4
1237	1	1
1260	1	0
1307	2	0
1360	1	4
1373	2	2
1387	4	0
1405	4	4
1423	0	0
1459	1	4
1557	1	0
1582	1	1
1601	1	4
1603	1	1
1646	1	1
1660	0	1
1661	4	0
1670	2	0
1702	0	0
1732	0	0
1735	1	4
1749	1	2
1758	1	2
1760	3	2
1781	1	2
1788	1	4
1812	4	3
1830	0	3
1833	4	4
1861	1	2
1881	0	4
1904	0	3
1922	1	0
1927	1	2
1953	3	0
1955	0	3
1960	1	4
1972	0	3
1990	0	3
2000	0	4
2028	0	4
2056	4	0
2066	0	3
2077	3	1
2160	1	2
2172	0	4
2215	1	0
2221	4	4
2245	0	4
2250	1	4
2272	1	2
2275	0	0
2280	1	1
2356	0	0
2369	0	3
2382	1	2
2432	4	0
2453	0	3
2491	1	0
2582	2	0
2591	4	0
2596	0	0
2598	1	3
2612	4	4
2648	0	0
2665	4	0
2669	1	0
2687	0	3
2701	4	2
2779	1	4
2822	4	0
2839	1	2
2882	0	4
2888	0	2
2925	2	1
2958	0	4
2964	0	4
3010	1	4
3012	0	0
3017	1	4
3018	4	0
3041	2	0
3068	0	3
3136	1	3
3149	0	0
3166	0	4
3183	0	4
3192	0	0
3207	4	0
3226	1	0
3232	4	4
3265	4	4
3276	0	0
3381	2	0
3399	4	2
3420	4	4
3422	4	0
3431	1	1
3440	1	0
3448	1	2
3465	3	2
3490	1	1
3491	0	3
3494	0	0
3510	1	1
3568	4	0
3590	2	0
3620	1	4
3632	4	4
3633	0	3
3706	4	4
3732	4	0
3738	2	0
3820	1	1
3825	2	0
3838	1	0
3842	1	2
3844	0	3
3871	0	1
3878	1	2
3879	0	4
3935	1	2
3944	4	4
3966	2	0
3975	0	3
3989	0	3
4009	4	0
4033	1	1
4044	1	4
4045	4	0
4051	1	0
4056	1	0
4065	0	4
4210	2	0
4263	0	4
4274	2	0
4295	0	0
4303	1	2
4340	1	0
4377	0	3
4380	4	4
4406	1	0
4435	0	0
4514	1	1
4551	0	4
4564	0	0
4569	0	0
4576	4	0
4580	0	0
4584	0	3
4599	0	2
4613	1	4
4624	2	4
4642	1	0
4745	0	3
4785	0	3
4800	0	3
4841	1	1
4843	0	0
4909	0	4
4911	2	2
4936	4	0
4940	0	0
4975	4	4
5019	4	2
5029	1	0
5067	4	4
5072	4	1
5187	2	3
5203	1	2
5211	1	2
5215	1	2
5322	4	4
5329	0	3
5391	0	3
5445	2	0
5448	4	2
5477	4	1
5481	1	4
5526	4	4
5571	1	0
5586	1	2
5587	1	2
5592	0	3
5609	2	3
5617	1	4
5672	0	0
5721	1	4
5726	0	4
5773	4	4
5791	1	0
5799	1	4
5805	1	4
5835	1	0
5848	0	3
5856	1	0
5858	0	1
5883	1	0
5910	0	3
5917	1	0
5924	4	0
6050	1	0
6052	1	4
6055	4	4
6090	1	2
6119	1	3
6125	4	0
6131	1	1
6151	1	0
6168	4	4
6177	1	2
6181	1	4
6223	0	4
6232	0	0
6286	0	2
6287	1	2
6308	4	0
6315	0	0
6317	1	1
6333	0	0
6340	0	3
6357	0	3
6412	4	0
6415	1	1
6426	4	0
6449	1	4
6475	3	2
6481	1	4
6495	0	3
6499	1	2
6536	1	0
6552	1	1
6559	1	0
6613	0	2
6629	0	3
6642	0	0
6663	1	0
6723	4	4
6742	0	3
6767	0	3
6778	1	4
6787	1	4
6814	0	2
6826	1	0
6831	0	2
6852	0	2
6856	0	0
6877	1	2
6911	4	4
6976	0	4
7013	0	0
7022	1	2
7033	1	0
7043	0	2
7053	0	0
7079	0	2
7083	4	0
7102	4	4
7107	1	2
7120	1	4
7138	0	0
7142	1	4
7151	0	3
7160	4	0
7165	4	0
7216	0	2
7226	4	2
7235	1	2
7243	1	0
7262	1	4
7263	4	3
7264	1	4
7274	1	3
7277	1	2
7296	3	0
7305	3	0
7320	0	3
7329	1	3
7335	4	0
7371	0	1
7402	1	0
7418	4	4
7481	1	4
7532	3	2
7545	1	2
7555	0	4
7585	1	4
7612	0	3
7613	3	1
7634	1	4
7657	1	0
7666	1	0
7669	4	4
7732	1	0
7752	0	4
7760	1	4
7765	3	0
7843	4	4
7877	2	2
7905	1	0
7924	1	0
7936	4	0
7941	4	1
7946	0	0
7978	1	2
7987	1	4
7990	4	0
8008	4	0
8058	0	0
8069	1	4
8103	1	2
8134	0	3
8184	0	0
8222	1	1
8239	0	0
8261	0	3
8275	0	0
8296	0	4
8325	0	2
8328	0	3
8329	0	3
8351	0	3
8353	1	0
8354	0	1
8369	1	4
8377	0	3
8386	4	0
8445	1	4
8479	0	4
8490	1	4
8491	1	0
8529	1	0
8562	0	3
8568	1	0
8620	1	0
8625	0	3
