ID,Predicted Value,Actual Value
81,4,4
119,0,0
230,3,3
257,4,4
269,1,4
274,3,1
279,2,2
401,1,0
453,3,3
454,1,1
456,4,2
458,1,3
477,3,4
578,4,4
615,0,0
627,1,1
629,2,2
764,4,4
766,4,4
790,1,4
829,4,4
846,0,0
860,3,3
1081,1,4
1112,0,0
1114,0,3
1151,4,4
1179,4,0
1220,1,1
1225,1,1
1244,4,4
1281,4,4
1351,1,1
1391,1,4
1394,0,0
1559,0,1
1568,4,4
1571,3,4
1580,4,4
1596,2,2
1613,0,4
1616,2,2
1642,2,2
1657,4,4
1666,1,1
1691,4,1
1704,1,4
1706,4,4
1722,0,0
1728,4,4
1814,3,3
1929,2,2
1947,2,2
2116,4,4
2129,2,2
2132,4,4
2149,2,2
2191,4,4
2211,4,4
2247,1,3
2267,3,3
2333,4,4
2392,0,0
2414,0,0
2445,3,3
2450,2,2
2460,2,2
2486,4,0
2487,1,1
2500,3,3
2505,2,2
2645,0,0
2672,2,2
2698,0,0
2714,4,4
2741,4,4
2747,0,0
2755,1,1
2761,4,4
2840,2,2
2863,4,4
2879,2,2
2901,4,4
2963,4,4
2965,2,2
3014,2,2
3036,0,0
3038,4,4
3062,4,1
3219,1,2
3268,1,1
3331,4,4
3349,4,4
3353,2,2
3363,2,2
3402,1,1
3464,4,4
3478,0,0
3500,2,2
3537,4,4
3543,2,2
3601,2,2
3608,2,2
3625,0,0
3653,4,4
3713,0,0
3717,2,2
3763,2,2
3783,2,2
3892,1,1
3970,2,2
4017,1,0
4032,2,2
4035,4,4
4088,3,3
4091,4,1
4101,0,0
4150,0,0
4173,0,0
4308,1,1
4320,2,1
4331,1,1
4379,4,4
4458,2,2
4473,0,1
4494,4,4
4500,0,4
4508,1,1
4556,3,3
4578,4,4
4600,3,3
4629,0,0
4651,1,1
4662,4,0
4697,0,0
4737,3,4
4744,4,4
4750,4,4
4811,1,1
4855,0,1
4994,1,2
5051,2,2
5057,4,4
5071,1,1
5103,4,4
5123,3,3
5125,4,4
5150,2,2
5152,3,3
5172,1,1
5228,1,0
5305,2,2
5313,4,4
5343,1,2
5424,2,2
5457,4,0
5483,0,2
5590,2,2
5602,1,4
5733,0,1
5774,1,1
5800,4,4
5830,4,4
5843,2,2
5849,3,4
5855,2,2
5889,4,3
5942,4,1
5969,2,2
5975,1,1
5991,4,4
6012,2,2
6014,0,1
6018,3,3
6034,3,3
6043,0,0
6078,1,0
6100,3,3
6110,1,0
6149,0,0
6153,4,4
6173,4,3
6184,4,4
6204,2,2
6253,4,1
6285,2,2
6354,1,4
6378,4,4
6390,2,2
6428,4,4
6446,0,0
6447,3,4
6472,1,0
6516,1,1
6578,0,0
6678,4,4
6695,4,4
6702,0,0
6713,4,4
6776,1,1
6802,2,2
6904,3,3
6915,3,3
6928,3,3
6970,2,2
6972,1,4
6978,1,3
7001,4,4
7006,1,1
7029,0,4
7035,4,4
7037,1,2
7096,2,2
7099,2,2
7104,4,4
7134,4,2
7178,1,1
7188,4,4
7193,0,0
7194,4,1
7212,0,0
7231,1,2
7250,4,4
7291,3,4
7443,4,4
7451,1,1
7512,1,1
7556,1,1
7559,4,0
7564,1,4
7578,2,2
7586,0,1
7693,1,4
7742,1,1
7775,4,4
7803,2,2
7876,1,1
7899,2,2
8003,4,0
8027,2,2
8092,4,4
8132,1,0
8243,3,3
8252,1,0
8294,3,1
8361,2,2
8442,3,2
8452,4,4
8468,4,2
8476,0,1
8480,4,4
8516,4,4
8538,4,4
8636,0,0
8686,4,4
8700,4,4
8706,4,4
8719,1,1
8723,0,0
8790,4,4
8827,0,0
8848,4,1
8849,1,4
8850,1,1
8888,2,2
8891,2,2
8937,1,4
9039,2,2
9054,3,3
9073,4,4
9154,1,0
9158,1,4
9186,3,4
9254,1,0
9267,0,0
9395,2,2
9485,2,2
9548,0,0
9552,1,1
9559,1,1
9639,1,1
9675,0,2
9685,1,1
9751,0,0
9807,3,3
9816,2,2
9841,4,4
9863,2,2
9867,4,1
9916,1,1
9954,2,2
9995,1,1
10032,3,3
10090,0,0
10166,1,1
10204,2,2
10225,4,0
10226,1,4
10292,1,4
10294,4,2
10378,4,1
10409,0,0
10472,4,4
10473,2,2
10563,4,4
10565,4,4
10596,4,4
10644,4,1
10691,1,1
10720,4,4
10763,0,0
10768,4,4
10842,1,0
10877,2,2
10878,4,4
10993,1,1
10998,1,4
11031,4,4
11053,0,0
11114,4,4
11135,4,4
11184,4,4
11222,2,2
11258,4,4
11298,1,4
11328,4,4
11329,4,4
11342,2,2
11372,4,4
11409,4,0
11421,4,4
11433,0,0
11496,4,4
11530,2,2
11541,4,4
11550,1,1
11556,2,2
11590,0,0
11732,1,0
11734,0,0
11795,2,2
11822,4,4
11855,2,2
11890,4,4
11894,4,4
11924,2,2
12073,2,2
12141,2,2
12184,4,4
12200,2,2
12216,2,2
12253,2,4
12304,4,0
12330,4,4
12360,4,4
12410,1,1
12562,3,0
12569,4,1
12570,2,2
12629,2,2
12722,4,4
12733,3,3
12765,1,1
12818,4,4
12881,1,1
12886,2,2
12905,1,1
12934,0,0
12963,1,0
12973,2,2
13017,1,2
13148,4,4
13168,4,0
13253,0,4
13266,2,2
13371,2,2
13372,1,3
13385,4,4
13485,0,0
13495,3,3
13563,2,1
13694,1,0
13864,1,4
13902,4,4
13934,1,1
13954,1,1
14036,2,2
14038,1,1
14040,4,4
14069,0,0
